,FIRE_YEAR,STATE,NWCG_REPORTING_AGENCY,Count
491,1994,NV,FWS,12
492,1994,NV,NPS,15
493,1994,NV,TRIBE,7
494,1994,NY,FWS,4
495,1994,NY,NPS,3
496,1994,NY,ST/C&L,122
497,1994,OH,FS,25
498,1994,OH,NPS,3
499,1994,OK,BIA,336
500,1994,OK,FS,29
501,1994,OK,FWS,26
502,1994,OK,NPS,15
503,1994,OK,ST/C&L,1473
504,1994,OK,TRIBE,26
505,1994,OR,BIA,110
506,1994,OR,BLM,375
507,1994,OR,FS,1713
508,1994,OR,FWS,9
509,1994,OR,NPS,43
510,1994,OR,ST/C&L,1223
511,1994,PA,FS,8
512,1994,PA,NPS,12
513,1994,PR,FWS,4
514,1994,RI,FWS,1
515,1994,SC,FS,109
516,1994,SC,FWS,5
517,1994,SC,NPS,1
518,1994,SC,ST/C&L,4374
519,1994,SD,BIA,657
520,1994,SD,BLM,1
521,1994,SD,FS,144
522,1994,SD,NPS,6
523,1994,SD,ST/C&L,74
524,1994,TN,FS,65
525,1994,TN,FWS,1
526,1994,TN,NPS,7
527,1994,TX,FS,43
528,1994,TX,FWS,67
529,1994,TX,NPS,82
530,1994,TX,ST/C&L,715
531,1994,UT,BIA,78
532,1994,UT,BLM,513
533,1994,UT,FS,546
534,1994,UT,FWS,1
535,1994,UT,NPS,52
536,1994,UT,ST/C&L,473
537,1994,VA,FS,57
538,1994,VA,FWS,2
539,1994,VA,NPS,19
540,1994,VT,FS,6
541,1994,WA,BIA,289
542,1994,WA,BLM,25
543,1994,WA,FS,600
544,1994,WA,FWS,21
545,1994,WA,NPS,138
546,1994,WA,ST/C&L,943
547,1994,WA,TRIBE,5
548,1994,WI,BIA,131
549,1994,WI,FS,29
550,1994,WI,FWS,11
551,1994,WI,NPS,3
552,1994,WI,ST/C&L,1797
553,1994,WV,FS,7
554,1994,WV,NPS,15
555,1994,WV,ST/C&L,988
556,1994,WY,BIA,86
557,1994,WY,BLM,150
558,1994,WY,FS,272
559,1994,WY,FWS,1
560,1994,WY,NPS,79
561,1994,WY,ST/C&L,331
562,1995,AK,BIA,5
563,1995,AK,BLM,70
564,1995,AK,FS,35
565,1995,AK,FWS,1
566,1995,AK,ST/C&L,303
567,1995,AL,FS,109
568,1995,AL,FWS,17
569,1995,AL,NPS,13
570,1995,AL,ST/C&L,4091
571,1995,AR,FS,193
572,1995,AR,FWS,2
573,1995,AR,NPS,45
574,1995,AZ,BIA,1647
575,1995,AZ,BLM,315
576,1995,AZ,FS,1669
577,1995,AZ,FWS,12
578,1995,AZ,NPS,110
579,1995,AZ,ST/C&L,748
580,1995,CA,BIA,399
581,1995,CA,BLM,280
582,1995,CA,FS,1526
583,1995,CA,FWS,35
584,1995,CA,NPS,128
585,1995,CA,ST/C&L,5013
586,1995,CO,BIA,130
587,1995,CO,BLM,474
588,1995,CO,FS,221
589,1995,CO,FWS,2
590,1995,CO,NPS,61
591,1995,CO,ST/C&L,629
592,1995,CT,ST/C&L,110
593,1995,DC,NPS,5
594,1995,DE,FWS,5
595,1995,FL,BIA,7
596,1995,FL,FS,101
597,1995,FL,FWS,40
598,1995,FL,NPS,69
599,1995,FL,ST/C&L,2969
600,1995,GA,FS,51
601,1995,GA,FWS,10
602,1995,GA,NPS,3
603,1995,GA,ST/C&L,7902
604,1995,HI,NPS,9
605,1995,HI,ST/C&L,1
606,1995,IA,BIA,4
607,1995,IA,FWS,2
608,1995,ID,BIA,4
609,1995,ID,BLM,305
610,1995,ID,FS,856
611,1995,ID,FWS,4
612,1995,ID,NPS,2
613,1995,ID,ST/C&L,246
614,1995,ID,TRIBE,15
615,1995,IL,FS,34
616,1995,IL,FWS,13
617,1995,IN,FS,6
618,1995,IN,NPS,95
619,1995,KS,FS,16
620,1995,KS,FWS,8
621,1995,KS,NPS,2
622,1995,KS,ST/C&L,4
623,1995,KY,FS,172
624,1995,KY,NPS,8
625,1995,LA,FS,104
626,1995,LA,FWS,35
627,1995,MA,FWS,1
628,1995,MA,NPS,14
629,1995,MD,FWS,22
630,1995,MD,NPS,10
631,1995,ME,FS,1
632,1995,ME,FWS,3
633,1995,ME,NPS,6
634,1995,ME,ST/C&L,933
635,1995,ME,TRIBE,20
636,1995,MI,BIA,11
637,1995,MI,FS,82
638,1995,MI,FWS,2
639,1995,MI,NPS,4
640,1995,MI,ST/C&L,528
641,1995,MN,BIA,375
642,1995,MN,FS,181
643,1995,MN,FWS,30
644,1995,MN,NPS,10
645,1995,MN,ST/C&L,1135
646,1995,MO,FS,302
647,1995,MO,FWS,1
648,1995,MO,NPS,34
649,1995,MO,ST/C&L,1723
650,1995,MS,FS,170
651,1995,MS,FWS,34
652,1995,MS,NPS,23
653,1995,MS,ST/C&L,4765
654,1995,MT,BIA,288
655,1995,MT,BLM,89
656,1995,MT,FS,423
657,1995,MT,FWS,13
658,1995,MT,NPS,11
659,1995,MT,ST/C&L,228
660,1995,NC,BIA,18
661,1995,NC,FS,82
662,1995,NC,FWS,10
663,1995,NC,NPS,9
664,1995,NC,ST/C&L,5134
665,1995,ND,BIA,259
666,1995,ND,FS,2
667,1995,ND,FWS,9
668,1995,ND,NPS,2
669,1995,NE,BIA,13
670,1995,NE,FS,12
671,1995,NE,FWS,26
672,1995,NE,NPS,1
673,1995,NE,ST/C&L,4
674,1995,NH,FS,14
675,1995,NH,ST/C&L,181
676,1995,NJ,FWS,7
677,1995,NJ,NPS,2
678,1995,NJ,ST/C&L,1808
679,1995,NM,BIA,352
680,1995,NM,BLM,146
681,1995,NM,FS,570
682,1995,NM,FWS,7
683,1995,NM,NPS,41
684,1995,NM,ST/C&L,549
685,1995,NV,BIA,3
686,1995,NV,BLM,402
687,1995,NV,FS,116
688,1995,NV,FWS,4
689,1995,NV,NPS,13
690,1995,NV,TRIBE,7
691,1995,NY,FS,3
692,1995,NY,FWS,10
693,1995,NY,NPS,65
694,1995,NY,ST/C&L,409
695,1995,OH,FS,46
696,1995,OH,NPS,1
697,1995,OK,BIA,540
698,1995,OK,FS,61
699,1995,OK,FWS,12
700,1995,OK,NPS,5
701,1995,OK,ST/C&L,1799
702,1995,OK,TRIBE,166
703,1995,OR,BIA,85
704,1995,OR,BLM,332
705,1995,OR,FS,909
706,1995,OR,FWS,12
707,1995,OR,NPS,17
708,1995,OR,ST/C&L,909
709,1995,PA,FS,11
710,1995,PA,FWS,1
711,1995,PA,NPS,10
712,1995,SC,FS,102
713,1995,SC,FWS,5
714,1995,SC,NPS,1
715,1995,SC,ST/C&L,3412
716,1995,SD,BIA,493
717,1995,SD,BLM,1
718,1995,SD,FS,124
719,1995,SD,FWS,1
720,1995,SD,NPS,4
721,1995,SD,ST/C&L,42
722,1995,TN,FS,81
723,1995,TN,FWS,2
724,1995,TN,NPS,23
725,1995,TX,FS,64
726,1995,TX,FWS,61
727,1995,TX,NPS,51
728,1995,TX,ST/C&L,1472
729,1995,UT,BIA,35
730,1995,UT,BLM,344
731,1995,UT,FS,335
732,1995,UT,FWS,1
733,1995,UT,NPS,37
734,1995,UT,ST/C&L,399
735,1995,VA,FS,50
736,1995,VA,FWS,4
737,1995,VA,NPS,29
738,1995,VA,ST/C&L,1467
739,1995,VT,FS,2
740,1995,WA,BIA,170
741,1995,WA,BLM,11
742,1995,WA,FS,257
743,1995,WA,FWS,30
